Data,Prodotto,Categoria,Quantita,PrezzoUnitario,Totale
2024-01-01,Laptop Pro,Elettronica,1,1200.00,1200.00
2024-01-02,Smartphone X,Elettronica,2,800.00,1600.00
2024-01-03,Monitor 27,Elettronica,1,300.00,300.00
2024-01-04,Tastiera Meccanica,Accessori,3,100.00,300.00
2024-01-05,Mouse Wireless,Accessori,5,50.00,250.00
2024-01-06,Sedia Ufficio,Arredamento,1,250.00,250.00
2024-01-07,Scrivania Legno,Arredamento,1,450.00,450.00
2024-01-08,Cuffie ANC,Elettronica,2,200.00,400.00
2024-01-09,Webcam HD,Accessori,4,80.00,320.00
2024-01-10,Stampante Laser,Ufficio,1,180.00,180.00
2024-01-11,Laptop Pro,Elettronica,1,1200.00,1200.00
2024-01-12,Smartphone X,Elettronica,1,800.00,800.00
2024-01-13,Monitor 27,Elettronica,2,300.00,600.00
2024-01-14,Tastiera Meccanica,Accessori,1,100.00,100.00
2024-01-15,Mouse Wireless,Accessori,2,50.00,100.00
2024-01-16,Sedia Ufficio,Arredamento,2,250.00,500.00
2024-01-17,Scrivania Legno,Arredamento,1,450.00,450.00
2024-01-18,Cuffie ANC,Elettronica,3,200.00,600.00
2024-01-19,Webcam HD,Accessori,1,80.00,80.00
2024-01-20,Stampante Laser,Ufficio,1,180.00,180.00
2024-01-21,Laptop Pro,Elettronica,1,1200.00,1200.00
2024-01-22,Smartphone X,Elettronica,2,800.00,1600.00
2024-01-23,Monitor 27,Elettronica,1,300.00,300.00
2024-01-24,Tastiera Meccanica,Accessori,2,100.00,200.00
2024-01-25,Mouse Wireless,Accessori,10,50.00,500.00
2024-01-26,Sedia Ufficio,Arredamento,1,250.00,250.00
2024-01-27,Scrivania Legno,Arredamento,1,450.00,450.00
2024-01-28,Cuffie ANC,Elettronica,1,200.00,200.00
2024-01-29,Webcam HD,Accessori,2,80.00,160.00
2024-01-30,Stampante Laser,Ufficio,2,180.00,360.00
2024-01-31,Laptop Pro,Elettronica,1,1200.00,1200.00
2024-02-01,Smartphone X,Elettronica,1,800.00,800.00
2024-02-02,Monitor 27,Elettronica,1,300.00,300.00
2024-02-03,Tastiera Meccanica,Accessori,1,100.00,100.00
2024-02-04,Mouse Wireless,Accessori,4,50.00,200.00
2024-02-05,Sedia Ufficio,Arredamento,1,250.00,250.00
2024-02-06,Scrivania Legno,Arredamento,1,450.00,450.00
